ID,Category,Sub Category,Tag
597,discrimination,discriminatory language,bent
598,language,moderate bad language,pussy
599,sex,sex reference,sexting reference
600,sex,sex reference,dick pic
601,sex,sex reference,sexual fetish reference
602,sex,sex reference,choking reference
603,sex,sex reference,urolagnia reference
604,sex,sex reference,coprophilia reference
605,sex,sex reference,brothel
606,sex,sex reference,sex worker
607,sex,sex reference,pimp
608,sex,sex reference,madame
609,sex,sex reference,innuendo
610,sex,sex reference,sex reference
611,sex,sex reference,masturbation reference
612,sex,sex reference,upskirt shot
613,sex,sex reference,close up on cleavage
614,sex,sex reference,virginity reference
615,sex,sex reference,sight of semen
616,sex,sex reference,dildo
617,sex,sex reference,handcuffs
618,sex,sex reference,lingerie
619,sex,sex reference,porn magazine
620,sex,sex reference,porn image
621,sex,sex reference,porn film
622,sex,sex reference,thrusting gesture
623,sex,sex reference,fellatio gesture
624,sex,sex reference,cunnilingus gesture
625,sex,sex reference,ejaculation reference
626,sex,sex reference,threesome reference
627,sex,sex reference,orgy reference
628,sex,sex reference,sex shop
629,sex,sex reference,strip club
630,sex,sex reference,lap dance
631,sex,sex reference,stripper
632,sex,sex reference,shag
633,sex,sex reference,hooker
634,sex,sex reference,boner
635,sex,sex reference,tentpole gag
636,sex,sex reference,spunk
637,sex,sex reference,jizz
638,sex,sex reference,come
639,sex,sex reference,lube
640,sex,sex reference,fingering reference
641,sex,sex reference,pegging reference
642,sex,sex reference,explicit image
643,sex,sex reference,wank
644,sex,sex reference,fisting reference
645,sex,sex reference,sex dungeon
646,sex,sex reference,face sitting reference
647,sex,sex reference,wet
648,descriptor,crude,
649,descriptor,frequent,
650,threat and horror,horror,supernatural threat
651,threat and horror,threat,threat
652,flashing/flicking lights,,
653,flashing/flicking lights,flashing/flicking lights,
654,flashing/flicking lights,flashing/flicking lights,flashing/flicking lights
655,digital onscreen graphic,,
656,digital onscreen graphic,digital onscreen graphic,
657,digital onscreen graphic,digital onscreen graphic,digital onscreen graphic
658,descriptor,stylised,
659,general,general,hero,
660,general,general,villain,
661,general,general,person,
662,general,general,animal,
663,discrimination,discriminatory language,half-caste
664,discrimination,discriminatory language,half-breed
665,dangerous behaviour,suicide,scene of suicide
666,dangerous behaviour,suicide,suicide attempt
667,sex,sex reference,sleeping with reference
668,sex,sex reference,slept with reference
669,sex,sex reference,references to adultery
670,animals,,
671,animals,scenes of animal killing,
672,animals,scenes of animal killing,scenes of animal killing
673,animals,scenes of animal fighting,
674,animals,scenes of animal fighting,scenes of animal fighting
675,animals,scenes of animal butchery,
676,animals,scenes of animal butchery,scenes of animal butchery
677,animals,scenes of animal slaughter,
678,animals,scenes of animal slaughter,scenes of animal slaughter
679,animals,dead animals,
680,animals,dead animals,dead animals
681,animals,animal cruelty ,
682,animals,animal cruelty ,animal cruelty
683,animals,animal cruelty ,horse fall
684,animals,animal cruelty ,cock-fight
685,general,pregnant woman,
686,descriptor,black and white,
687,descriptor,darkly lit,
688,violence,violence,bite
689,violence,violence,hair pull
690,violence,violence,riot
691,violence,violence,brawl
692,violence,violence,fist fight
693,violence,violence,choke
694,violence,violence,strangle
695,discrimination,discriminatory behaviour,
696,discrimination,discriminatory behaviour,sexist behaviour
697,discrimination,discriminatory behaviour,homophobic behaviour
698,discrimination,discriminatory behaviour,transphobic behaviour
699,discrimination,discriminatory behaviour,references to racism
700,discrimination,discriminatory behaviour,racist behaviour
701,sex,sex reference,feeling horny reference
702,sex,sex reference,masturbation reference
703,sex,sex reference,asphyxiation reference
704,sex,sex reference,dirty talk
705,sex,sex reference,phone sex
706,sex,sex,establishing sex
707,theme,,
708,theme,bereavement theme,
709,theme,bereavement theme,bereavement theme
710,theme,bereavement theme,funeral scene
711,theme,bereavement theme,people grieving
712,theme,bereavement theme,child death
713,theme,bereavement theme,miscarriage
714,theme,bereavement theme,references to miscarriage
715,theme,bereavement theme,still born baby
716,theme,bullying theme,
717,theme,bullying theme,bullying theme
718,theme,bullying theme,references to bullying
719,theme,bullying theme,cyber bullying
720,theme,bullying theme,name calling
721,theme,bullying theme,person crying
722,theme,bullying theme,bullying scene
723,theme,eating disorder theme,
724,theme,eating disorder theme,eating disorder theme
725,theme,eating disorder theme,anorexia theme
726,theme,eating disorder theme,anorexia references
727,theme,eating disorder theme,counting calories
728,theme,eating disorder theme,pro-ana website
729,theme,eating disorder theme,pro-ana references
730,theme,eating disorder theme,bulimia references
731,theme,eating disorder theme,weigh-in
732,theme,eating disorder theme,references to weight
733,theme,eating disorder theme,vomit
734,theme,eating disorder theme,food addiction
735,theme,eating disorder theme,force feeding
736,theme,eating disorder theme,exercise
737,theme,upsetting scenes,
738,theme,upsetting scenes,upsetting scenes
739,theme,references to illness,
740,theme,references to illness,references to mental health
741,theme,references to mental health,
742,theme,references to mental health,references to mental health
743,rude humour,,
744,rude humour,rude humour,
745,rude humour,rude humour,rude humour
746,rude humour,rude humour,fart
747,rude humour,rude humour,burp
748,rude humour,rude humour,vomit
749,animals,animal cruelty,reference to animal cruelty
